ВремяОкругл;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в  чеке;Ценность клиента
00:00:00;15945585;2645217;0.16589024485461024;5536;21787;5290;3254;4;500
01:00:00;553380;96947;0.17519064657197586;195;746;190;3340;4;510
02:00:00;14354863;2405407;0.16756739510505952;5459;21202;5056;3070;4;476
03:00:00;3650448;625736;0.17141348130421252;1427;5995;1357;3026;4;461
04:00:00;1551079;272733;0.1758343707831774;569;2573;542;3321;5;503
05:00:00;877985;159720;0.18191654754921782;292;1218;284;3389;4;562
06:00:00;1432339;273594;0.1910120439365262;489;1591;463;3243;3;591
07:00:00;3248126;531202;0.1635410695274752;1141;3466;1102;3298;3;482
08:00:00;4176982;748607;0.1792219837193457;1555;4544;1496;3037;3;500
09:00:00;7016373;1231099;0.1754608827096279;2525;7534;2446;3148;3;503
10:00:00;14308216;2698035;0.18856543680917315;4462;15800;4313;3581;4;626
11:00:00;20287606;3795882;0.1871034956021918;6211;23973;5960;3659;4;637
12:00:00;27203517;4977193;0.18296137958926414;8477;31091;8101;3591;4;614
14:00:00;30784180;5768650;0.1873900815288892;9245;34169;8784;3762;4;657
15:00:00;30519362;5715571;0.18727688344205884;8884;32810;8512;3890;4;671
16:00:00;26855933;5070317;0.18879690383499245;8176;29973;7816;3708;4;649
17:00:00;30359634;5436038;0.17905479361180704;9309;34619;8886;3715;4;612
18:00:00;27117355;5112462;0.18853099795315584;8142;31557;7790;3788;4;656
19:00:00;29759987;5802897;0.19498990372542838;8881;33410;8491;3785;4;683
20:00:00;26016259;5069311;0.19485165026993312;7624;28560;7285;3860;4;696
21:00:00;16105425;2971186;0.18448355134993333;5099;18348;4935;3593;4;602
22:00:00;23758207;4080944;0.17176986461983432;7839;29277;7510;3423;4;543
23:00:00;22758197;3896226;0.1712009962827899;7577;29337;7214;3438;4;540
13:00:00;27280803;5071522;0.18590075959274366;7994;29919;7683;3842;4;660
